sep=,
Result 3|time [s] Case 1,Result 3|weaDat.weaBus.TDryBul Case 1,Result 3|zonHVAC.TAir [K] Case 1,Result 1|time [s] Case 1,Result 1|weaDat.weaBus.TDryBul Case 1,Result 1|zonHVAC.TAir [K] Case 1
340156.8,267.6131999999998,279.22037115306665,340156.8,267.6131999999998,275.9109352346848
342835.2,266.7948000000002,279.0586859160408,342835.2,266.7948000000002,275.7094571030345
345513.60000000003,265.9763999999995,278.8867091142126,345513.60000000003,265.9763999999995,275.49481781761307
345600,265.95,278.8809949664062,345600,265.95,275.48767944988424
345600,265.95,278.8809949664062,345600,265.95,275.48767944988424
348192,265.8498912,278.73613453398445,348192,265.8498912,275.3252074853628
350870.4,266.18420141355716,278.62295203413066,350870.4,266.18420141355716,275.2221746281225
353548.8,266.4539117703529,278.5193797930477,353548.8,266.4539117703529,275.13309394997674
356227.2,265.9956264073848,278.37959478979866,356227.2,265.9956264073848,274.97520635167683
358905.60000000003,264.9372311242908,278.1983357087141,358905.60000000003,264.9372311242908,274.74543897408165
361584,262.8439589565217,277.9454666125842,361584,262.8439589565217,274.3925752432473
364262.4,260.4604501467439,277.62751227370234,364262.4,260.4604501467439,273.93899265133797
366940.8,258.86677935908534,277.3249277681147,366940.8,258.86677935908534,273.5296043184592
369619.2,258.12735243093334,277.05133660657344,369619.2,258.12735243093334,273.1840424028831
372297.60000000003,258.5577946804153,276.8774358924436,372297.60000000003,258.5577946804153,272.9918691228537
374400,259.25,276.93315492461545,374400,259.25,273.0556678157639
374400,259.25,276.93315492461545,374400,259.25,273.0556678157639
374976,259.2766870153846,276.83374802186955,374976,259.2766870153846,272.9554543532712
377654.4,259.09695663852256,277.06766223243363,377654.4,259.09695663852256,273.1399176361354
380332.8,260.64966732005564,277.6358181589744,380332.8,260.64966732005564,273.71865220590666
383011.2,262.35900211347075,278.33252821260834,383011.2,262.35900211347075,274.44106135062
385689.60000000003,264.0348122880008,279.0458331721603,385689.60000000003,264.0348122880008,275.18451275931426
388368,265.21185599999995,279.7116830416599,388368,265.21185599999995,275.8658740467361
391046.4,266.0363999999995,280.33005888922554,391046.4,266.0363999999995,276.48343216938036
393724.8,266.8548000000002,280.87403921616124,393724.8,266.8548000000002,277.0293764339421
396403.2,267.69060627255624,281.317067176416,396403.2,267.69060627255624,277.4817069448291
399081.60000000003,269.02482791624413,281.64816345067777,399081.60000000003,269.02482791624413,277.85348516242686
401760,269.856352173913,281.7177946522475,401760,269.856352173913,277.9657804509538
404438.4,269.5114296960005,281.6212216792678,404438.4,269.5114296960005,277.86859403688294
407116.8,268.69719999999984,281.41300808551216,407116.8,268.69719999999984,277.6265491640246
409795.2,268.2508000000001,281.20521935388837,409795.2,268.2508000000001,277.40319309337553
410400,268.15,281.1587279372147,410400,268.15,277.35317164625394
410400,268.15,281.1587279372147,410400,268.15,277.35317164625394
412473.60000000003,267.8043999999997,281.22497095952866,412473.60000000003,267.8043999999997,277.39563330952876
415152,267.271984,281.0576950929074,415152,267.271984,277.20473319481647
417830.4,266.37960000000044,280.8589185804479,417830.4,266.37960000000044,276.9627568497085
420508.8,265.56119999999976,280.65233442018433,420508.8,265.56119999999976,276.7121219801346
423187.2,264.7428000000002,280.4363922428944,423187.2,264.7428000000002,276.4500477945028
425865.60000000003,264.1564772608001,280.2177820335703,425865.60000000003,264.1564772608001,276.1886723701295
428544,264.20599999999996,280.04494881582764,428544,264.20599999999996,276.0122277056859
431222.4,263.3876000000004,279.8204671443806,431222.4,263.3876000000004,275.74156472508855
432000,263.15,279.7527111542126,432000,263.15,275.6592625947121
432000,263.15,279.7527111542126,432000,263.15,275.6592625947121
433900.8,262.56919999999974,279.58364532992454,433900.8,262.56919999999974,275.4538004604544
436579.2,261.9297646848,279.3428863111397,436579.2,261.9297646848,275.16412325436784
439257.60000000003,262.0384739558182,279.1481264597531,439257.60000000003,262.0384739558182,274.9613749162028
441936,261.26367104537815,278.91036019155973,441936,261.26367104537815,274.6780663547065
444614.4,260.0215396514917,278.6353061462086,444614.4,260.0215396514917,274.3318736236354
447292.8,259.15949857745454,278.3488028242997,447292.8,259.15949857745454,273.9755093650835
449971.2,259.2529925934546,278.12351065303835,449971.2,259.2529925934546,273.73370906613025
452649.60000000003,258.85532735999976,277.87803427906596,452649.60000000003,258.85532735999976,273.45320965792456
455328,258.7309396363636,277.63898053548826,455328,258.7309396363636,273.1869445343364
458006.4,258.64203388974573,277.4285743230107,458006.4,258.64203388974573,272.95824489555963
460684.8,258.14185551360004,277.3424387787423,460684.8,258.14185551360004,272.82413103158365
460800,258.15,277.3485940207749,460800,258.15,272.8285945370973
460800,258.15,277.3485940207749,460800,258.15,272.8285945370973
463363.2,258.943974760727,277.42250438729747,463363.2,258.943974760727,272.90647157102734
466041.60000000003,259.4823762734547,277.86054145511537,466041.60000000003,259.4823762734547,273.33222017408895
468720,260.07,278.342285591017,468720,260.07,273.7927136755983
471398.4,260.88839999999954,278.68128027319045,471398.4,260.88839999999954,274.13236740552543
474076.8,261.7068000000002,278.6787365558263,474076.8,261.7068000000002,274.151405242161
476755.2,261.9531678375726,278.71162148403414,476755.2,261.9531678375726,274.19336667295585
479433.60000000003,261.524535166778,278.62576523051825,479433.60000000003,261.524535166778,274.06857862575544
482112,262.07408036498674,278.5191793506637,482112,262.07408036498674,273.981364848724
484790.4,261.65238968163845,278.46670472994964,484790.4,261.65238968163845,273.90470924517376
487468.8,261.25284781060805,278.36362850445414,487468.8,261.25284781060805,273.7722044591252
490147.2,260.76866372100466,278.1960330536397,490147.2,260.76866372100466,273.5772022881843
492825.60000000003,258.92618774884767,277.86323265235177,492825.60000000003,258.92618774884767,273.1562192200202
495504,257.98888668131866,277.5205722227208,495504,257.98888668131866,272.7519592609626
496800,257.54999999999995,277.359078975644,496800,257.54999999999995,272.56462596604456
496800,257.54999999999995,277.359078975644,496800,257.54999999999995,272.56462596604456
498182.4,256.9437849422776,277.3861872006529,498182.4,256.9437849422776,272.54935154917484
500860.8,255.83389973520866,277.0745347646877,500860.8,255.83389973520866,272.1601499174128
503539.2,255.99937597468133,276.814377388081,503539.2,255.99937597468133,271.88163250267354
506217.60000000003,254.67734890272726,276.49872427791286,506217.60000000003,254.67734890272726,271.4976224549236
508896,254.45204996923076,276.1918643113037,508896,254.45204996923076,271.1417463809136
511574.4,254.90671749973308,275.95064769093943,511574.4,254.90671749973308,270.90309507892687
514252.80000000005,255.28937762330264,275.71675535316433,514252.80000000005,255.28937762330264,270.67254790286717
516931.2,254.7234964809146,275.4498143548671,516931.2,254.7234964809146,270.37670749945136
518400,254.24999999999997,275.2779296327385,518400,254.24999999999997,270.16969763074127
518400,254.24999999999997,275.2779296327385,518400,254.24999999999997,270.16969763074127
