sep=,
Result 3|time [s] Case 1,Result 3|weaDat.weaBus.TDryBul Case 1,Result 3|zonHVAC.TAir [K] Case 1
455328,258.7309396363636,277.63898053548826
458006.4,258.64203388974573,277.4285743230107
460684.8,258.14185551360004,277.3424387787423
460800,258.15,277.3485940207749
460800,258.15,277.3485940207749
463363.2,258.943974760727,277.42250438729747
466041.60000000003,259.4823762734547,277.86054145511537
468720,260.07,278.342285591017
471398.4,260.88839999999954,278.68128027319045
474076.8,261.7068000000002,278.6787365558263
476755.2,261.9531678375726,278.71162148403414
479433.60000000003,261.524535166778,278.62576523051825
482112,262.07408036498674,278.5191793506637
484790.4,261.65238968163845,278.46670472994964
487468.8,261.25284781060805,278.36362850445414
490147.2,260.76866372100466,278.1960330536397
492825.60000000003,258.92618774884767,277.86323265235177
495504,257.98888668131866,277.5205722227208
496800,257.54999999999995,277.359078975644
496800,257.54999999999995,277.359078975644
498182.4,256.9437849422776,277.3861872006529
500860.8,255.83389973520866,277.0745347646877
503539.2,255.99937597468133,276.814377388081
506217.60000000003,254.67734890272726,276.49872427791286
508896,254.45204996923076,276.1918643113037
511574.4,254.90671749973308,275.95064769093943
514252.80000000005,255.28937762330264,275.71675535316433
516931.2,254.7234964809146,275.4498143548671
518400,254.24999999999997,275.2779296327385
518400,254.24999999999997,275.2779296327385
519609.60000000003,254.24555916800006,275.1546892556634
522288,254.2134101333333,274.8998036493855
524966.4,253.85101348693354,274.6263296549829
527644.8,253.40919999999986,274.3459359001298
530323.2000000001,252.9628000000001,274.0620438101235
533001.6,252.51730567679974,273.7758713448386
535680,252.15959999999998,273.4914381904504
538358.4,251.4905568333918,273.1936754195757
541036.8,250.70531577242218,272.87405379724925
543715.2000000001,250.34199195907786,272.60143584168526
546393.6,250.9673623949249,272.56584257044506
547200,251.45,272.645924392192
547200,251.45,272.645924392192
549072,253.23191366305417,272.7656457725812
551750.4,255.4720575350532,273.36244955179524
554428.8,257.0659411884142,274.02928130761114
557107.2000000001,258.4164614819307,274.7282654933825
559785.6,258.79644213620844,275.36648709685505
562464,258.98797911055897,275.91528102091826
565142.4,259.83719665896115,276.4930461772296
567820.8,260.352950656,277.0021546016099
570499.2000000001,260.1373222357803,277.3738558262275
573177.6,259.73201286058253,277.5861015308835
575856,259.27756407601805,277.60275294481704
578534.4,257.6496399523341,277.31553551682316
581212.8,256.7525897550768,276.95670314810724
583200,256.45,276.72238321242094
583200,256.45,276.72238321242094
583891.2000000001,256.18278076342887,276.79715280464694
586569.6,254.91159681828523,276.51130962083454
589248,254.9156530285714,276.2317237814623
591926.4,254.39568074494457,275.9487906912541
594604.8,253.6105746361942,275.6324916276661
597283.2000000001,253.1751246112737,275.3289341340065
599961.6,253.60323901289448,275.06908283226096
602640,253.58586700767262,274.81430846150073
604800,253.14999999999998,274.58014815235987
604800,253.14999999999998,274.58014815235987
605318.4,252.99730658727006,274.52154944461716
607996.8,252.0787150703303,274.19829280377496
610675.2000000001,252.04999999999998,273.9153580637781
613353.6,252.04999999999998,273.644507276936
616032,252.04999999999998,273.37784172997436
618710.4,252.04999999999998,273.115325736566
621388.8,251.6543116543998,272.8396054861503
624067.2000000001,251.45,272.56006765746406
626745.6,251.45,272.30077180109936
629424,251.45,272.0552996480463
632102.4,251.57451352696444,271.9563943129551
633600,252.04999999999998,272.0677275575031
633600,252.04999999999998,272.0677275575031
634780.8,253.0712403266267,272.0734416383716
637459.2000000001,256.1728121073365,272.63588604059095
640137.6,258.3199147746753,273.24245896419666
642816,259.783216,273.891419378845
645494.4,260.56717671563615,274.4967593962285
648172.8,261.00724211200026,275.03256368868824
650851.2000000001,262.3305383679997,275.6156205047247
653529.6,262.8716000000002,276.14135160860627
656208,263.318,276.5876842517215
658886.4,263.76388574719977,276.94543961611146
661564.8,263.81585384959993,277.1091915036202
664243.2000000001,263.40262315520016,276.9983425487248
666921.6,263.15,276.7893620328525
669600,263.15,276.59543947463783
669600,263.15,276.59543947463783
672278.4,263.15,276.6466346789118
674956.8,263.3726949492365,276.514734011899
677635.2000000001,263.8751725930388,276.41109352248753
680313.6,264.2396585408833,276.30822042273803
682992,264.24857694117645,276.19471795760853
685670.4,264.5411804596702,276.0885036675938
688348.8,264.7829234943999,276.00130765121133
691027.2000000001,264.2540144896,275.8645002609386
691200,264.25,275.8561668307659
691200,264.25,275.8561668307659
693705.6,264.25,275.7493410691898
696384,264.25,275.6394824140145
699062.4,264.30346539519974,275.53250622193065
701740.8,264.8411166976,275.4582827313207
704419.2000000001,264.84999999999997,275.36634136514283
707097.6,264.84999999999997,275.27180047466686
709776,264.84999999999997,275.17867156464206
712454.4,264.84999999999997,275.0869915112138
715132.8,265.1475408640001,275.00995659421625
717811.2000000001,265.306266226726,274.9597213114158
720000,265.34999999999997,274.97296924055775
720000,265.34999999999997,274.97296924055775
720489.6,265.5438022692578,274.8670783060419
723168,267.3085682285714,275.0590830653156
725846.4,268.64770300342786,275.4435400066514
728524.8,269.68012752640016,275.81636008018575
731203.2000000001,270.54589292799955,276.22702027004453
733881.6,272.31771801600075,276.7526794873463
736560,273.2848571428571,277.2783773345088
739238.4,274.2215455024756,277.73110666032755
741916.8,274.84999999999997,278.1443891677236
744595.2000000001,274.84999999999997,278.4856984415537
747273.6,274.84999999999997,278.65279668129386
749952,274.4391712,278.667476147111
752630.4,273.15,278.5255485427393
755308.8,273.15,278.4587155215475
756000,273.15,278.44293078753145
756000,273.15,278.44293078753145
757987.2000000001,273.15,278.62283270388815
760665.6,273.40469387093395,278.6165436692265
763344,274.23506879999996,278.6629475601012
766022.4,273.8761536768002,278.6461830173568
768700.8,273.43319999999983,278.614117129403
771379.2000000001,272.9868000000001,278.57508934599076
774057.6,272.5403248383997,278.5295623273855
776736,272.0963104,278.47699155460214
777600,272.04999999999995,278.46249134604676
777600,272.04999999999995,278.46249134604676
779414.4,272.04999999999995,278.4402372221333
782092.8,272.04999999999995,278.40972287151897
784771.2000000001,272.04999999999995,278.379708234502
787449.6,272.38585152000024,278.36563232021274
790128,272.8349140363636,278.3693806659618
792806.4,273.25953229653317,278.37919454761607
795484.8,273.17604875093315,278.37136262842944
798163.2000000001,271.93661204114323,278.29450968881577
800841.6,270.8841313939871,278.1939850854953
803520,270.2107304347826,278.12343044505957
806198.4,270.29269910149526,278.24321464195623
806400,270.34999999999997,278.2694478728015
806400,270.34999999999997,278.2694478728015
808876.8,271.56802639360035,278.5113601263549
811555.2000000001,272.52519999999976,279.14033139434383
814233.6,273.34360000000044,279.856259339094
816912,274.162,280.60642630261304
819590.4,274.6908195071998,281.32078901221894
822268.8,275.07995706880007,281.9796307385857
824947.2000000001,275.3604216990476,282.61342838697425
827625.6,274.8901966933331,283.1314300334683
830304,274.90200457142856,283.54217006923164
832982.4,274.56952640000037,283.7850307233573
835660.8,273.5323999999996,283.78231990918925
838339.2000000001,272.26760000000036,283.5750917170959
841017.6,271.0027999999993,283.33917901132634
842400,270.34999999999997,283.213224331201
842400,270.34999999999997,283.213224331201
843696,269.7454304,283.2959332283179
846374.4,268.61929776280743,283.0944640863556
849052.8,268.2392552533332,282.9078638726352
851731.2000000001,267.46361201852653,282.70815198498997
854409.6,267.452890342401,282.51582354970975
857088,268.702,282.44132539601577
859766.4,268.25560000000024,282.273990148366
862444.8,267.80919999999986,282.0976699919157
864000,267.54999999999995,281.99332974004506
864000,267.54999999999995,281.99332974004506
865123.2000000001,267.66359295999973,281.9259445015641
867801.6,268.81314362880045,281.83856326072896
870480,269.6436,281.7577688906678
873158.4,270.2153622690907,281.67809121657245
875836.8,270.3979458210909,281.5826063163301
878515.2000000001,270.341270912,281.4770325529998
881193.6,269.9410779112725,281.3510798517538
883872,269.8527229090909,281.23186891067377
886550.4,269.72301365760023,281.1208981363045
889228.8,269.247617468509,280.98397163867173
891907.2000000001,269.19022633658176,280.874843542431
892800,269.25,280.84837680519047
892800,269.25,280.84837680519047
894585.6,269.45124253090927,280.5971930614698
897264,270.114,280.62298605534863
899942.4,270.9323999999995,280.7819372990081
902620.8,271.7508000000002,281.02897882199943
905299.2000000001,272.56919999999974,281.52206135066973
907977.6,273.4879047201399,282.0402885155315
910656,275.2691257043478,282.62490855854304
913334.4,276.6048058220117,283.19666074496376
916012.8,277.5760685312001,283.7089902766382
918691.2000000001,277.3388000000002,284.0826628099887
921369.6,276.52039999999954,284.2224104613681
924048,275.702,284.13686169583946
926726.4,275.15505752997643,283.98496793575305
928800,275.34999999999997,283.9007482085681
928800,275.34999999999997,283.9007482085681
929404.8,275.4338582518418,284.03129909984597
932083.2000000001,275.91965863303517,284.0482554061506
934761.6,275.9509847156363,283.9975758572048
937440,276.1674545454545,283.9485837156057
940118.4,276.3736613930442,283.9175310677418
942796.8,275.4330482831741,283.8172936604737
945475.2000000001,275.0383286497883,283.7265734005774
948153.6,274.6241586724569,283.63611302038
950400,274.25,283.5532415838424
950400,274.25,283.5532415838424
950832,274.1993572571428,283.53757199354527
953510.4,274.2189386569142,283.4573535039724
956188.8,274.5254240000001,283.39834996235084
958867.2000000001,275.3573164799996,283.37259276305275
961545.6,276.55705741265496,283.39335104305496
964224,277.05604625454544,283.39379785432646
966902.4,276.78731898026695,283.3545885763725
969580.8,276.0777383679997,283.2823873543488
972259.2000000001,275.3078990080001,283.18817306897466
974937.6,274.94177219531014,283.1150287535844
977616,274.5049672214559,283.114412482988
979200,274.25,283.16705795829387
979200,274.25,283.16705795829387
980294.4,274.5562598143991,283.0416255335943
982972.8,275.95,283.1883894622826
985651.2000000001,275.95,283.1419658861886
988329.6,275.95,283.14295404991174
991008,275.95,283.16609243868504
993686.4,275.95,283.20429070408164
996364.8,275.95,283.2486290850214
999043.2000000001,276.2380724247271,283.3105487719312
1001721.6,276.2707934463995,283.3482941804388
1004400,275.34999999999997,283.2813254831444
1007078.4,275.0428982581197,283.19858667878367
1009756.8,274.3276488155426,283.0666553972974
1012435.2000000001,273.4870110670132,282.9006193952731
1015113.6,272.58195767688255,282.721180378484
1015200,272.54999999999995,282.715081976252
1015200,272.54999999999995,282.715081976252
1017792,270.5792945454545,282.7137892123486
1020470.4,268.97695329645785,282.4863342077039
1023148.8,267.8804207798854,282.273895373117
1025827.2000000001,267.08371735040015,282.0666104595729
1028505.6000000001,266.62445873038934,281.87244289925417
1031184,266.2273509565217,281.67913280892014
1033862.4,265.6836458240009,281.48176023293263
1036540.8,263.77981115547806,281.18991323402884
1036800,263.75,281.1644303163873
1036800,263.75,281.1644303163873
1039219.2000000001,263.75,280.97397169107956
1041897.6000000001,263.75,280.7751246277166
1044576,263.7171838117647,280.57870064201296
1047254.4,263.1959852378355,280.3574183040006
1049932.8,263.1762122556235,280.15187706236935
1052611.2,262.7191701217885,279.9408306059233
1055289.6,262.04999999999995,279.69142319561377
1057968,262.04999999999995,279.4849796574836
1060646.4000000001,262.04999999999995,279.2830222782581
1063324.8,262.04999999999995,279.1081839051727
1065600,262.04999999999995,279.0996510646717
1065600,262.04999999999995,279.0996510646717
1066003.2,262.0717267983058,279.0048554347552
1068681.6,262.9311107297888,279.2039666501993
1071360,264.2360705882353,279.6955005233682
1074038.4000000001,265.2283999999995,280.2712169880579
1076716.8,266.0468000000002,280.8634133517482
1079395.2,266.86519999999973,281.43521161169053
1082073.6,267.6836000000004,281.93314173408095
1084752,268.0724661333333,282.19808248821806
1087430.4000000001,267.0336581888,282.21158175970874
1090108.8,267.17696330239994,282.331651226135
1092787.2,266.4428000000002,282.10574051731675
1095465.6,265.6243999999995,281.83285570279145
1098144,264.80974776470583,281.556193196953
1100822.4000000001,264.8355360301175,281.3076959527267
1101600,264.84999999999997,281.2418105265148
1101600,264.84999999999997,281.2418105265148
1103500.8,264.50199229289393,281.2848280310769
1106179.2,264.5425475327996,281.08229748548314
1108857.6,265.95460563116893,280.98353470891396
1111536,265.90972987012987,280.8240503038886
1114214.4000000001,266.250905960727,280.6764208689037
1116892.8,266.45,280.5383959079765
1119571.2,266.45,280.38848458724334
1122249.6,266.45,280.24074633528846
1123200,266.45,280.18887349142193
1123200,266.45,280.18887349142193
1124928,266.2762272,280.0887615065288
1127606.4000000001,265.82314009884465,279.9156170001958
1130284.8,265.3658612788824,279.73732667402646
1132963.2,267.88967533155994,279.6964592010346
1135641.6,269.03213354496006,279.6847685877728
1138320,268.44559111111107,279.56713201019346
1140998.4000000001,267.1189832152183,279.3822038273369
1143676.8,266.3702251775999,279.20757709672785
1146355.2,266.90030672164545,279.09640375383236
1149033.6,267.7585884205578,279.0298825342225
1151712,268.6630726962637,279.0176744359267
1152000,268.75,279.0208912580022
1152000,268.75,279.0208912580022
1154390.4000000001,268.3428268642466,278.7785225687653
1157068.8,268.3936406272001,278.7398487382287
1159747.2,268.7639455822032,278.75223995237735
1162425.6,268.7289394193797,278.74878078626136
1165104,269.0846618181818,278.786640023699
1167782.4000000001,269.24432294400003,278.8314447274722
1170460.8,269.3174567261092,279.1210418044986
1173139.2,269.774425746618,279.7478713623016
1175817.6,270.1979114240002,280.1777313304063
1178496,270.1924191168831,280.4027697650553
1181174.4000000001,269.08395512785523,280.3974319005119
1183852.8,267.7788148526542,280.21536830650246
1186531.2,266.8224394914911,279.97479956721395
1188000,266.45,279.8501306511496
1188000,266.45,279.8501306511496
1189209.6,266.23356614981793,279.95170159133056
1191888,265.92579767195764,279.80078793668065
1194566.4000000001,265.9886577202116,279.65500131700304
1197244.8,264.7405151590394,279.45731711258884
1199923.2,263.7142774254932,279.2119209237073
1202601.6,263.6394029132398,279.04772306804125
1205280,261.94487507692304,278.78084158856257
1207958.4000000001,259.64127690854536,278.45511826769604
1209600,258.75,278.2486566024338
1209600,258.75,278.2486566024338
1210636.8,258.75,278.15034000054936
1213315.2,258.75,277.9169798490585
1215993.6,258.75,277.6880291659258
1218672,258.75,277.46264190704295
1221350.4000000001,258.79510725119985,277.2419983293568
1224028.8,259.2564469038547,277.0481711892441
1226707.2,260.08244901469067,276.8878794674999
