sep=,
Result 1|time [s] Case 1,Result 1|heatEnergy.y Case 1
629424,635.4363469473745
632102.4,640.2555557298692
633600,642.676506410483
633600,642.676506410483
634780.8,644.4860035810746
637459.2000000001,647.4278952839921
640137.6,649.1378856859479
642816,649.9554418958721
645494.4,650.2203657177246
648168.3760115195,650.2909501470793
648168.3760115195,650.2909501470793
648172.7371703128,650.2909501470792
648172.7371703128,650.2909501470792
648172.8,650.2909501470792
650851.2000000001,650.2909501470792
653529.6,650.2909501470792
656208,650.2909501470792
658886.4,650.2909501470792
661564.8,650.4071288126642
664243.2000000001,651.3543678667781
666921.6,653.2515165572937
669600,655.7609384708855
669600,655.7609384708855
672278.4,658.2546908762218
674956.8,661.0458029066016
677635.2000000001,663.9535953338303
680313.6,666.9281505538548
682992,669.9752700133982
685670.4,673.1029442204997
688348.8,676.1934785703485
691027.2000000001,679.3994850723793
691200,679.6112097213442
691200,679.6112097213442
693705.6,682.6889989549064
696384,685.991279727806
699062.4,689.3011427973147
701740.8,692.5416645770161
704419.2000000001,695.7386251232709
707097.6,698.9530420343564
709776,702.1793757254533
712454.4,705.4137596315232
715132.8,708.6319150010543
717811.2000000001,711.7618383223916
720000,714.2534005420132
720000,714.2534005420132
720489.6,714.847079398418
723168,717.6440124590514
725846.4,719.5766374014327
728524.8,720.8760385378563
731203.2000000001,721.766506026022
733881.6,722.0905662935905
734055.6034091924,722.0915353315363
734055.6034091924,722.0915353315363
734059.5888356916,722.0915353315363
734059.5888356916,722.0915353315363
736560,722.0915353315363
739238.4,722.0915353315363
741916.8,722.0915353315363
744595.2000000001,722.0915353315363
747273.6,722.0915353315363
749952,722.2828431499379
752630.4,723.384128944879
755308.8,725.0103108056142
756000,725.4772289494755
756000,725.4772289494755
757987.2000000001,726.5935562141665
760665.6,728.2769067435402
763344,729.9462236456355
766022.4,731.7220729553703
768700.8,733.6827345995212
771379.2000000001,735.7937030842138
774057.6,738.0251278305052
776736,740.3600501349719
777600,741.1281035489826
777600,741.1281035489826
779414.4,742.7368495475372
782092.8,745.0979749294481
784771.2000000001,747.4474260377906
787449.6,749.7611394579683
790128,751.9757483667693
792806.4,754.1023914445088
795484.8,756.1987088126518
798163.2000000001,758.4637053638227
800841.6,761.0080448387623
803520,763.6847211947993
806198.4,766.1898038573783
806400,766.3512786735087
806400,766.3512786735087
808876.8,768.1969538000342
811555.2000000001,769.0738071476432
812588.1161349228,769.1427269802932
812588.1161349228,769.1427269802932
812591.4387554753,769.1427269802931
812591.4387554753,769.1427269802931
814233.6,769.1427269802931
816912,769.1427269802931
819590.4,769.1427269802931
822268.8,769.1427269802931
824947.2000000001,769.1427269802931
827625.6,769.1427269802931
830304,769.1427269802931
832982.4,769.1427269802931
835660.8,769.1427269802931
838339.2000000001,769.1427269802931
841017.6,769.1427269802931
