sep=,
Result 1|time [s] Case 1,Result 1|hea.Q_flow [W] Case 1
471398.4,1544.4134765269714
474076.8,2096.265516589937
476755.2,2406.7160059733246
479433.60000000003,3053.9084513557095
482112,3317.091492910432
484790.4,3549.910196350538
487468.8,3846.9835889983297
490147.2,4265.7964040696115
492825.60000000003,5169.700281632742
495504,5650.693180497113
496800,5833.741272686009
496800,5833.741272686009
498182.4,5490.100171583933
500860.8,5907.21742221229
503539.2,5862.130648783047
506217.60000000003,6274.440240576255
508896,6294.434035745778
511574.4,6117.949677409277
514252.80000000005,5994.2131812536545
516931.2,6175.484048306057
518400,6318.383276909514
518400,6318.383276909514
519609.60000000003,6301.5055884184685
522288,6279.971113845025
524966.4,6366.779389089321
527644.8,6469.598417709176
530323.2000000001,6565.3227036263015
533001.6,6654.927147713292
535680,6714.0058877875
538358.4,6867.799844248864
541036.8,6999.999630750838
543715.2000000001,6999.999461763351
546393.6,6064.682637431108
547200,5541.663873001088
547200,5541.663873001088
549072,4611.329756603931
551750.4,2750.6757862164764
554428.8,1360.520540694988
557107.2000000001,347.83961439728756
558752.5464438106,-0.000004184172690800581
558752.5464438106,-0.000004184172690800581
558756.9129700687,1.1214296303287805e-19
558756.9129700687,1.1214296303287805e-19
559785.6,-1.0553862963020888e-42
562464,1.0801645152273893e-56
565142.4,-6.0283610885106194e-61
567820.8,-1.242289858158273e-67
570499.2000000001,-4.420063875312446e-81
573177.6,623.6537145088338
575856,1731.7132735950604
578534.4,3415.4842989368576
581212.8,4526.328903284578
583200,5019.202907906561
583200,5019.202907906561
583891.2000000001,4619.405618873988
586569.6,5413.691531366644
589248,5628.3617624018725
591926.4,5932.979611596153
594604.8,6247.805648757527
597283.2000000001,6400.683035800186
599961.6,6267.598748830301
602640,6288.804328460893
604800,6429.627848172642
604800,6429.627848172642
605318.4,6473.9261707925025
607996.8,6735.334957651919
610675.2000000001,6694.335002883476
613353.6,6659.4133171204485
616032,6635.728504162162
618710.4,6619.605117760019
621388.8,6728.475356466253
624067.2000000001,6765.531406767723
626745.6,6741.232153935764
629424,6675.158990327278
632102.4,6174.436250588628
633600,5387.215188616853
633600,5387.215188616853
