sep=,
Result 3|time [s] Case 1,Result 3|weaDat.weaBus.TDryBul Case 1,Result 3|zonHVAC.TAir [K] Case 1,Result 1|time [s] Case 1,Result 1|weaDat.weaBus.TDryBul Case 1,Result 1|zonHVAC.TAir [K] Case 1,Result 1|time [s] Case 1,Result 1|weaDat.weaBus.TDryBul Case 1,Result 1|zonHVAC.TAir [K] Case 1
2142720,268.15,282.4111606412855,2142720,268.15,278.8757819256027,1998086.4000000001,272.04999999999995,293.14973380535014
2145398.4,268.15,282.2585064066476,2145398.4,268.15,278.7132753346521,2000764.8,272.04999999999995,293.1497124064694
2148076.8000000003,268.15,282.1080301638729,2148076.8000000003,268.15,278.5542876580819,2003443.2,272.04999999999995,293.14980456546414
2150755.2,268.15,281.96000162607277,2150755.2,268.15,278.39865403813246,2006121.6,272.04999999999995,293.1498671516476
2153433.6,268.15,281.8142394283749,2153433.6,268.15,278.24627706931204,2008800,272.04999999999995,293.14990973675043
2156112,268.15,281.6707137052124,2156112,268.15,278.0972026561314,2011478.4000000001,272.04999999999995,293.1500248081132
2158790.4,267.4541312496947,281.49820763105555,2158790.4,267.4541312496947,277.89373898098876,2014156.8,272.2178438912001,293.15063857174965
2160000,267.04999999999995,281.40488732442265,2160000,267.04999999999995,277.7756500633387,2016000,272.54999999999995,293.1508932986947
2160000,267.04999999999995,281.40488732442265,2160000,267.04999999999995,277.7756500633387,2016000,272.54999999999995,293.1508932986947
2161468.8000000003,266.75040258559983,281.3000697339928,2161468.8000000003,266.75040258559983,277.6498401940765,2016835.2,272.68919999999986,293.15369838035275
2164147.2,266.42560551131425,281.119036677878,2164147.2,266.42560551131425,277.44076202349993,2019513.6,273.13560000000024,293.15172499472544
2166825.6,266.48287531519986,280.9618425012066,2166825.6,266.48287531519986,277.2768046618319,2022192,273.582,293.1518412669345
2169504,266.14026151260504,280.7881802042494,2169504,266.14026151260504,277.08079500624194,2024870.4000000001,274.23341561599943,293.1527111077052
2172182.4,265.71431413609434,280.6043383121824,2172182.4,265.71431413609434,276.86837616419723,2027548.8,274.93386121417143,293.15111777830157
2174860.8000000003,265.331162419677,280.4152462617931,2174860.8000000003,265.331162419677,276.64888125596786,2030227.2,274.83285943039994,293.15075385720553
2177539.2,265.88897321262095,280.2760214402814,2177539.2,265.88897321262095,276.52230815826186,2032905.6,275.73463111314334,293.1516881714817
